91320 1567058854  0.001571366887541203 6590.889 -1 400554 4.38
91482 1567059630  0.001573201660183256 6598.585 -1 401330 4.38
91526 1567059847  0.001565524267525272 6566.383 -1 401547 4.38
91529 1567059858  0.001565409389847921 6565.901 -1 401558 4.38
91690 1567060631  0.001573095319662762 6598.139 -1 402331 4.38
91779 1567061055  0.001588735283804583 6663.738 -1 402755 4.38
91862 1567061517  0.001578634421847154 6621.372 -1 403217 4.38
92336 1567063947   0.00156562958687542 6566.825 -1 405647 4.39
92358 1567064053  0.001565572138200543 6566.584 -1 405753 4.39
92380 1567064146  0.001569401679469338 6582.646 -1 405846 4.39
92438 1567064469  0.001557333838764821 6532.029 -1 406169 4.39
92498 1567064803   0.00155800677834581 6534.852 -1 406503 4.39
92515 1567064887  0.001559202442077182 6539.867 -1 406587 4.39
92526 1567064935  0.001556339711282419 6527.859 -1 406635 4.39
93096 1567067791  0.001559211938812179 6539.907 -1 409491 4.39
93447 1567069517  0.001543670214850816 6474.719 -1 411217 4.40
93487 1567069736  0.001541671497009955 6466.336 -1 411436 4.40
93549 1567070027  0.001550260664260496 6502.362 -1 411727 4.40
93596 1567070260  0.001557504388153052 6532.745 -1 411960 4.40
93614 1567070360  0.001553808063840635 6517.241 -1 412060 4.40
93694 1567070742  0.001550598708319452 6503.780 -2 412442 4.40
93702 1567070785  0.001551698370388779 6508.392 -1 412485 4.40
93722 1567070866  0.001549406820822893 6498.780 -1 412566 4.40
93756 1567071015  0.001556339711282419 6527.859 -1 412715 4.40
93786 1567071149  0.001556178876677021 6527.185 -1 412849 4.40
93815 1567071302  0.001562132916046279 6552.158 -1 413002 4.40
93878 1567071581  0.001568084664081738 6577.122 -1 413281 4.40
93902 1567071653  0.001568276791293481 6577.928 -7 413353 4.40
93939 1567071856  0.001574798494998708 6605.282 -2 413556 4.40
93964 1567071956  0.001580105756055107 6627.543 -1 413656 4.40
93982 1567072035  0.001589336961650452 6666.262 -1 413735 4.40
94011 1567072141  0.001589504723570976 6666.966 -1 413841 4.40
94024 1567072191  0.001595717016150648 6693.022 -2 413891 4.40
94085 1567072447   0.00160963338625503 6751.393 -1 414147 4.40
94114 1567072596  0.001612797324668616 6764.663 -1 414296 4.40
94144 1567072709  0.001619070498630726 6790.975 -1 414409 4.40
94146 1567072715  0.001617372448334902 6783.853 -1 414415 4.40
94233 1567073120  0.001638322573677642 6871.726 -1 414820 4.40
94261 1567073245  0.001639172293403511 6875.290 -1 414945 4.40
94289 1567073382  0.001644690611949888 6898.436 -1 415082 4.40
94298 1567073416  0.001647654590654567 6910.868 -1 415116 4.40
94424 1567074042  0.001659865612052364 6962.085 -1 415742 4.40
94428 1567074049  0.001665253524081495 6984.684 -1 415749 4.40
94481 1567074294   0.00167502727686137 7025.679 -1 415994 4.40
94495 1567074388  0.001671385532827557 7010.404 -1 416088 4.40
94607 1567074998  0.001660727057613836 6965.698 -2 416698 4.40
94633 1567075107  0.001665795323663764 6986.956 -2 416807 4.40
94661 1567075251  0.001661945374073256 6970.808 -1 416951 4.40
94753 1567075647  0.001676200818142532 7030.601 -1 417347 4.40
94777 1567075795  0.001667227369973819 6992.963 -1 417495 4.40
94822 1567076004  0.001667944316849101 6995.970 -1 417704 4.40
94846 1567076092  0.001673921048243664 7021.039 -2 417792 4.40
94933 1567076492  0.001682546558285354 7057.217 -1 418192 4.40
94964 1567076647  0.001680017940699712 7046.611 -1 418347 4.40
94999 1567076884  0.001671549234732189 7011.090 -1 418584 4.40
95009 1567076917  0.001674172833188367 7022.095 -1 418617 4.40
95056 1567077133  0.001682038015624795 7055.084 -1 418833 4.40
95060 1567077152  0.001682170649288352 7055.641 -1 418852 4.40
95154 1567077585  0.001695203651034355 7110.306 -1 419285 4.40
95161 1567077612  0.001697620600874023 7120.443 -1 419312 4.40
95191 1567077778  0.001701909317098466 7138.432 -1 419478 4.40
95199 1567077829  0.001701242016999389 7135.633 -1 419529 4.40
95241 1567078019   0.00169459768412482 7107.764 -1 419719 4.40
95256 1567078130  0.001688472659187146 7082.074 -1 419830 4.40
95293 1567078249  0.001705594527023426 7153.889 -1 419949 4.40
95350 1567078496  0.001711329668291118 7177.944 -2 420196 4.40
95536 1567079456  0.001714389666291638 7190.779 -1 421156 4.40
95611 1567079843  0.001708018426530735 7164.056 -1 421543 4.40
95648 1567079995  0.001716642931145474 7200.230 -1 421695 4.40
95657 1567080021  0.001720415417778345 7216.053 -1 421721 4.40
95778 1567080604  0.001735707947426231 7280.196 -1 422304 4.40
95807 1567080762  0.001727893717728055 7247.420 -2 422462 4.40
95861 1567081019  0.001724529746907925 7233.310 -1 422719 4.40
95872 1567081081  0.001724111622777478 7231.556 -2 422781 4.40
95942 1567081442  0.001724901583093011 7234.870 -1 423142 4.41
96012 1567081736  0.001732630076142132 7267.286 -1 423436 4.41
96015 1567081759  0.001734085416864238 7273.390 -1 423459 4.41
96052 1567081930  0.001742857197565409 7310.182 -1 423630 4.41
96084 1567082149  0.001741955877149409 7306.402 -1 423849 4.41
96148 1567082537  0.001723589252651069 7229.365 -2 424237 4.41
96192 1567082815   0.00170528776337439 7152.602 -1 424515 4.41
96271 1567083214  0.001702180911013146 7139.571 -1 424914 4.41
96295 1567083377  0.001695899925472011 7113.226 -1 425077 4.41
96347 1567083662  0.001687637823111762 7078.572 -1 425362 4.41
96355 1567083689  0.001686503769986363 7073.815 -1 425389 4.41
96452 1567084156  0.001681993809051367 7054.899 -1 425856 4.41
96469 1567084229   0.00168457272233738 7065.716 -1 425929 4.41
96483 1567084303  0.001678828040462996 7041.620 -1 426003 4.41
96518 1567084497  0.001667086225815484 6992.371 -1 426197 4.41
96530 1567084541  0.001668738022058967 6999.299 -2 426241 4.41
96560 1567084695  0.001659026562651891 6958.566 -1 426395 4.41
96656 1567085158  0.001673822544314474 7020.626 -1 426858 4.41
96670 1567085213  0.001671822142511951 7012.235 -1 426913 4.41
96721 1567085498  0.001678519822900343 7040.328 -1 427198 4.41
96840 1567086119  0.001676102045726857 7030.187 -1 427819 4.41
96885 1567086383  0.001665665259613508 6986.411 -2 428083 4.41
96889 1567086388   0.00166618563771625 6988.594 -1 428088 4.41
96985 1567086823  0.001666782304166368 6991.096 -1 428523 4.41
97054 1567087125  0.001674676630381453 7024.208 -1 428825 4.41
97157 1567087705  0.001669042657404208 7000.577 -1 429405 4.41
97281 1567088368  0.001657318817005904 6951.403 -1 430068 4.42
97293 1567088409  0.001660263919514884 6963.756 -1 430109 4.42
97336 1567088580  0.001671734802327404 7011.869 -1 430280 4.42
97387 1567088856  0.001675718041409196 7028.576 -1 430556 4.42
97464 1567089217  0.001667303380574317 6993.282 -14 430917 4.42
97532 1567089552  0.001668846807629875 6999.755 -1 431252 4.42
97551 1567089632  0.001663273539578068 6976.379 -1 431332 4.42
97606 1567089920  0.001666489341791764 6989.867 -1 431620 4.42
97768 1567090735  0.001675454825841667 7027.472 -1 432435 4.42
97831 1567091108  0.001668357384223355 6997.703 -1 432808 4.42
97836 1567091123  0.001665058562499187 6983.866 -1 432823 4.42
97838 1567091125  0.001665036902919062 6983.775 -1 432825 4.42
97972 1567091797  0.001664885301634994 6983.139 -1 433497 4.42
97994 1567091873  0.001665318521421787 6984.957 -1 433573 4.42
98086 1567092328  0.001667726995114007 6995.059 -1 434028 4.42
98155 1567092751  0.001653102156491754 6933.717 -1 434451 4.42
98190 1567092906  0.001658091700023317 6954.645 -1 434606 4.42
98237 1567093126  0.001659908663104725 6962.266 -1 434826 4.42
98321 1567093511   0.00166590372588958 6987.411 -2 435211 4.42
98337 1567093581  0.001673800656126792 7020.534 -1 435281 4.42
98397 1567093871  0.001670098861901593 7005.007 -1 435571 4.42
98429 1567094043  0.001672564902715346 7015.351 -1 435743 4.42
98484 1567094366  0.001668226919793554 6997.155 -1 436066 4.42
98486 1567094370  0.001667585766352035 6994.466 -1 436070 4.42
